epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.87893,1.21873,3.38329,1.28505,0.00559,0.70534,0.20044,0.14543,0.99475,3.23845,1.08585,0.00024293,0.00024293,0.00024293
2,12.8694,1.18624,2.73053,1.24915,0.00459,0.61148,0.18431,0.11117,1.21503,3.30629,1.2942,0.000497674,0.000497674,0.000497674
3,18.6332,1.237,2.39494,1.29756,0.93183,0.04333,0.26464,0.16458,1.32805,3.07421,1.44369,0.000749872,0.000749872,0.000749872
4,24.1824,1.23142,2.23905,1.2701,0.65239,0.12004,0.23423,0.13923,1.42101,3.11096,1.76882,0.000999523,0.000999523,0.000999523
5,29.7251,1.18024,2.15318,1.25649,0.49468,0.08822,0.09367,0.04159,1.74801,3.85853,2.21552,0.00124663,0.00124663,0.00124663
6,35.2353,1.24592,2.13022,1.29721,0.65688,0.2075,0.23442,0.12494,1.71764,3.14438,1.83008,0.00139363,0.00139363,0.00139363
7,40.7425,1.31093,2.1294,1.33885,0.35206,0.21122,0.22618,0.12283,1.64747,3.41465,1.61864,0.00138656,0.00138656,0.00138656
8,46.5231,1.29738,2.05832,1.33015,0.60524,0.31987,0.31235,0.1855,1.49046,3.4431,1.55283,0.00137949,0.00137949,0.00137949
9,52.2311,1.2542,1.87528,1.29441,0.25711,0.3074,0.26325,0.16034,1.57172,3.16134,1.60208,0.00137241,0.00137241,0.00137241
10,57.8929,1.28802,1.88399,1.33342,0.59195,0.28123,0.2807,0.15589,1.63352,3.94948,1.83444,0.00136534,0.00136534,0.00136534
11,63.6688,1.25305,1.79361,1.30692,0.28346,0.38959,0.29384,0.16123,1.62339,2.57038,1.8472,0.00135826,0.00135826,0.00135826
12,69.5388,1.20808,1.67702,1.2674,0.53434,0.40688,0.42387,0.267,1.40999,2.09868,1.49908,0.00135119,0.00135119,0.00135119
13,75.2426,1.25182,1.67765,1.27331,0.63697,0.34173,0.30371,0.19061,1.32991,4.54871,1.49098,0.00134412,0.00134412,0.00134412
14,80.9144,1.21454,1.68105,1.30881,0.29069,0.52782,0.40083,0.24983,1.39693,3.03088,1.55621,0.00133704,0.00133704,0.00133704
15,86.573,1.18433,1.55153,1.24666,0.76713,0.2557,0.31805,0.19603,1.44236,3.60837,1.6277,0.00132997,0.00132997,0.00132997
16,92.2916,1.18947,1.57318,1.25148,0.47469,0.38833,0.40882,0.26517,1.35145,2.32387,1.38068,0.0013229,0.0013229,0.0013229
17,98.0218,1.13573,1.47994,1.22347,0.40296,0.45238,0.39496,0.25777,1.37246,2.25718,1.41347,0.00131582,0.00131582,0.00131582
18,103.784,1.17551,1.4297,1.24035,0.38496,0.51655,0.4465,0.2963,1.29959,1.85205,1.39088,0.00130875,0.00130875,0.00130875
19,109.614,1.15759,1.38447,1.23309,0.55162,0.40777,0.46018,0.31277,1.26648,1.99787,1.35322,0.00130168,0.00130168,0.00130168
20,115.335,1.15943,1.39762,1.24043,0.6945,0.37424,0.45447,0.30386,1.26343,1.59337,1.34914,0.0012946,0.0012946,0.0012946
21,120.979,1.11447,1.34992,1.22364,0.50799,0.51815,0.51506,0.33608,1.24022,1.58348,1.29323,0.00128753,0.00128753,0.00128753
