epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,293.647,1.13623,5.17293,1.24228,0.00146,0.7915,0.14224,0.10256,1.32502,5.14693,1.21305,0.00024293,0.00024293,0.00024293
2,299.975,1.13263,4.37519,1.29167,0.00116,0.5343,0.13695,0.1022,1.47745,4.92486,1.55609,0.000497674,0.000497674,0.000497674
3,306.186,1.23884,4.21378,1.33032,0.9096,0.07345,0.14003,0.08682,1.55453,4.83969,1.55794,0.000749872,0.000749872,0.000749872
4,312.007,1.2462,3.57876,1.30733,0.83165,0.08862,0.13163,0.08721,1.48718,4.92721,1.40099,0.000999523,0.000999523,0.000999523
5,317.928,1.33858,3.43881,1.37669,0.81174,0.13559,0.13387,0.0744,1.63567,7.13506,1.61912,0.00124663,0.00124663,0.00124663
6,323.649,1.42858,3.66372,1.45164,0.67416,0.0678,0.00678,0.00222,2.71099,7.87386,3.17778,0.00139363,0.00139363,0.00139363
7,329.312,1.51472,3.56784,1.56493,0.71376,0.0339,0.02531,0.00809,2.67567,20.2223,3.04871,0.00138656,0.00138656,0.00138656
8,335.01,1.53403,3.03648,1.48167,0.61585,0.2533,0.12569,0.06532,1.9602,13.6,1.93087,0.00137949,0.00137949,0.00137949
9,340.841,1.37596,2.77401,1.38117,0.82576,0.0904,0.11712,0.07436,1.64319,6.70784,1.63367,0.00137241,0.00137241,0.00137241
10,346.58,1.39287,2.66761,1.4339,0.80106,0.13559,0.15118,0.09451,1.64213,15.4342,1.66346,0.00136534,0.00136534,0.00136534
11,352.257,1.41479,2.64691,1.45816,0.82293,0.12994,0.14983,0.09392,1.66362,10.493,1.76552,0.00135826,0.00135826,0.00135826
12,358.092,1.39591,2.55622,1.43772,0.08418,0.21603,0.08157,0.05248,1.68198,13.6243,1.89607,0.00135119,0.00135119,0.00135119
13,363.872,1.39758,2.40044,1.40175,0.47954,0.16384,0.16426,0.11327,1.62287,5.22537,1.72539,0.00134412,0.00134412,0.00134412
14,369.723,1.3558,2.48552,1.42035,0.79944,0.14689,0.15669,0.10293,1.78295,10.3745,1.89227,0.00133704,0.00133704,0.00133704
