epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.715,1.18697,2.79323,2.40404,1.40383,0.58247,0.25364,0.28681,0.15824,0.61997,0.26997,0.29648,0.19431,1.24149,2.12762,2.75771,1.47679,0.000655172,0.000655172,0.000655172
2,76.7124,1.24671,1.91128,1.7717,1.41216,0.47579,0.41047,0.3512,0.18346,0.47613,0.41873,0.34475,0.18536,1.5718,2.85637,2.56971,1.7959,0.00130875,0.00130875,0.00130875
3,113.241,1.27427,1.84863,1.68859,1.41289,0.41051,0.3719,0.32972,0.12362,0.4318,0.39118,0.34725,0.1463,1.85596,2.84917,2.65381,2.18971,0.00194913,0.00194913,0.00194913
4,148.969,1.27511,1.73946,1.6425,1.41516,0.4536,0.39394,0.35178,0.16962,0.4865,0.44077,0.39518,0.19415,1.82873,2.37022,3.20013,2.17564,0.0019406,0.0019406,0.0019406
5,185.438,1.27369,1.81345,1.57144,1.42461,0.47543,0.4022,0.38033,0.21807,0.46362,0.40496,0.38265,0.22781,1.4348,2.32235,1.9909,1.53499,0.0019208,0.0019208,0.0019208
6,221.105,1.23225,1.7301,1.5229,1.39117,0.5125,0.42975,0.43735,0.23735,0.52483,0.41322,0.43788,0.26272,1.51782,2.15148,2.08056,1.69312,0.001901,0.001901,0.001901
7,256.266,1.19615,1.67116,1.4238,1.36307,0.49683,0.46556,0.43228,0.17978,0.52285,0.49587,0.47484,0.21287,1.65316,1.89386,2.09144,1.79822,0.0018812,0.0018812,0.0018812
8,291.267,1.17308,1.67053,1.4112,1.35796,0.56916,0.48485,0.47496,0.29389,0.59076,0.50964,0.50907,0.31551,1.37371,1.79224,1.69178,1.50116,0.0018614,0.0018614,0.0018614
9,324.682,1.1762,1.74419,1.35419,1.34578,0.59684,0.50689,0.54353,0.32891,0.60213,0.50863,0.55915,0.34925,1.34153,1.93754,1.64378,1.39948,0.0018416,0.0018416,0.0018416
10,357.406,1.14285,1.59308,1.29041,1.33404,0.68924,0.43382,0.52627,0.32637,0.62667,0.48209,0.55026,0.34228,1.35499,1.82632,1.6773,1.47325,0.0018218,0.0018218,0.0018218
11,391.961,1.1073,1.60878,1.28003,1.31087,0.71678,0.46281,0.52809,0.32168,0.71411,0.4573,0.5132,0.31822,1.25823,1.92789,1.69737,1.34702,0.001802,0.001802,0.001802
12,425.773,1.08464,1.53306,1.24203,1.28227,0.70209,0.49587,0.57504,0.36375,0.72347,0.5124,0.59994,0.37404,1.19617,1.66737,1.51868,1.31442,0.0017822,0.0017822,0.0017822
13,459.565,1.07308,1.54512,1.22701,1.29916,0.58956,0.58953,0.59003,0.33901,0.58103,0.60331,0.60502,0.37542,1.26593,1.65204,1.51601,1.37087,0.0017624,0.0017624,0.0017624
14,493.705,1.13043,1.55353,1.25035,1.31586,0.58652,0.51191,0.53616,0.36716,0.62342,0.49311,0.5367,0.38248,1.17134,1.67218,1.56605,1.35109,0.0017426,0.0017426,0.0017426
15,528.314,1.0409,1.50741,1.20583,1.26261,0.74269,0.47658,0.58516,0.39212,0.72134,0.51791,0.60733,0.41622,1.27116,1.70414,1.43253,1.39189,0.0017228,0.0017228,0.0017228
16,563.624,1.11044,1.47158,1.20146,1.29268,0.78958,0.43251,0.52527,0.3279,0.7656,0.44089,0.52306,0.33076,1.3076,1.94004,1.81681,1.44964,0.001703,0.001703,0.001703
17,599.474,1.04703,1.44301,1.15996,1.27403,0.77364,0.51784,0.60878,0.40633,0.79456,0.51515,0.61229,0.42477,1.21021,1.51733,1.38961,1.3761,0.0016832,0.0016832,0.0016832
18,632.441,1.0509,1.40528,1.12914,1.2659,0.67195,0.53719,0.59967,0.42359,0.68309,0.55223,0.62313,0.44051,1.17466,1.57466,1.36419,1.29984,0.0016634,0.0016634,0.0016634
19,667.084,1.04893,1.44854,1.18113,1.27603,0.66295,0.55096,0.60812,0.43008,0.70969,0.57244,0.63909,0.43888,1.10043,1.508,1.32136,1.26549,0.0016436,0.0016436,0.0016436
20,703.009,1.02756,1.3944,1.13797,1.25504,0.76165,0.52893,0.63268,0.44752,0.76074,0.52893,0.63437,0.44442,1.11475,1.56285,1.33724,1.27484,0.0016238,0.0016238,0.0016238
21,738.494,1.05392,1.51086,1.16019,1.27006,0.58271,0.57025,0.55933,0.36821,0.64918,0.56076,0.58599,0.3851,1.19225,1.69184,1.4953,1.29553,0.001604,0.001604,0.001604
22,774.032,1.01534,1.49401,1.14682,1.2377,0.78437,0.48485,0.59316,0.42073,0.83218,0.50689,0.62691,0.43449,1.11879,1.59757,1.37231,1.25318,0.0015842,0.0015842,0.0015842
23,810.295,0.96521,1.39573,1.07018,1.22886,0.77075,0.49587,0.59128,0.42587,0.81293,0.5124,0.61752,0.43903,1.13844,1.6331,1.42242,1.27448,0.0015644,0.0015644,0.0015644
